Bezeichnung;Querschnitt eines Teilleiters;Aussendurchmesser;Massenbelag eines Teilleiters;Elastizitätsmodul;Längenausdehnungskoeffizient;Normbezeichnung;Rechnerische Bruchkraft;Dauerstrombelastbarkeit;Kurzzeitstromdichte
16-AL1 (16);15.9;5.1;0.0434;60000;0.000023; 16-E-Al;3.02;;2.7E-19
24-AL1 (25);24.2;6.3;0.0663;60000;0.000023; 25-E-Al;4.36;;2.7E-19
34-AL1 (35);34.4;7.5;0.0939;60000;0.000023; 35-E-Al;6.01;;2.7E-19
49-AL1 (50);49.5;9;0.1352;60000;0.000023; 50/7-E-Al;8.41;;2.7E-19
48-AL1 (50);48.3;9;0.1329;57000;0.000023; 50/19-E-Al;8.94;;2.7E-19
66-AL1 (70);65.8;10.5;0.1809;57000;0.000023; 70-E-Al;11.85;;2.7E-19
93-AL1 (95);93.3;12.5;0.2563;57000;0.000023; 95-E-Al;16.32;;2.7E-19
117-AL1 (120);117;14;0.3215;57000;0.000023; 120-E-Al;19.89;;2.7E-19
147-AL1 (150);147.1;15.8;0.4057;57000;0.000023; 150-E-Al;26.48;;2.7E-19
182-AL1 (185);181.6;17.5;0.5009;57000;0.000023; 185-E-Al;31.78;;2.7E-19
243-AL1 (240);242.5;20.3;0.6711;55000;0.000023; 240-E-Al;43.66;;2.7E-19
299-AL1 (300);299.4;22.5;0.8285;55000;0.000023; 300-E-Al;52.4;;2.7E-19
400-AL1 (400);400.1;26;1.1071;55000;0.000023; 400-E-Al;68.02;;2.7E-19
500-AL1 (500);499.8;29.1;1.3829;55000;0.000023; 500-E-Al;82.47;;2.7E-19
626-AL1 (625);626.2;32.6;1.7397;55000;0.000023; 625-E-Al;106.45;;2.7E-19
802-AL1 (800);802.1;36.9;2.2283;55000;0.000023; 800-E-Al;132.34;;2.7E-19
1000-AL1 (1000);999.7;41.1;2.7773;55000;0.000023; 1000-E-Al;159.95;;2.7E-19
16-AL3 (16);15.9;5.1;0.0434;60000;0.000023;16-E-Al;4.69;105;2.7E-19
24-AL3 (25);24.2;6.3;0.0662;60000;0.000023; 25-E-Al;7.15;135;2.7E-19
34-AL3 (35);34.4;7.5;0.0938;60000;0.000023; 35-E-Al;10.14;170;2.7E-19
49-AL3 (50);49.5;9;0.1351;60000;0.000023; 50/7-E-Al;14.6;210;2.7E-19
66-AL3 (70);65.8;10.5;0.1807;57000;0.000023; 70-E-Al;19.41;255;2.7E-19
93-AL3 (95);93.3;12.5;0.256;57000;0.000023; 95-E-Al;27.51;320;2.7E-19
117-AL3 (120);117;14;0.3212;57000;0.000023; 120-E-Al;34.51;365;2.7E-19
147-AL3 (150);147.1;15.8;0.4053;57000;0.000023; 150-E-Al;43.4;425;2.7E-19
182-AL3 (185);181.6;17.5;0.5003;57000;0.000023; 185-E-Al;53.58;490;2.7E-19
